Image Description,Figure,Owner,Source,Date Received
Professional Networks,Fig. 1,Freepik,https://www.flaticon.com/free-icon/share_2783668,07/18/25
Snowball Sampling,Fig. 1,Freepik,https://www.flaticon.com/free-icon/snowball_4068766,07/18/25
University Organizations,Fig. 1,Freepik,https://www.flaticon.com/free-icon/university_4459446 ,07/18/25
Participants,Fig. 1,surang,https://www.flaticon.com/free-icon/coding_3242313,07/18/25
Survey,Fig. 1,Freepik,https://www.flaticon.com/free-icon/call-center_2707042,07/18/25
Complete Responses,Fig. 1,Octopocto,https://www.flaticon.com/free-icon/check-mark_5290058,07/18/25
Response Coding,Fig. 1,Freepik,https://www.flaticon.com/free-icon/product-development_4229839,07/18/25
Quantitative & Qualitative Analysis,Fig. 1,monkik,https://www.flaticon.com/free-icon/data_993725,07/18/25
RQ1: Tasks,Fig. 1,wanicon,https://www.flaticon.com/free-icon/prioritize_4133572,07/18/25
RQ2: Techniques & Strategies,Fig. 1,Freepik,https://www.flaticon.com/free-icon/prompt_10328681,07/18/25
RQ3: Reliability & Issues,Fig. 1,Elzicon,https://www.flaticon.com/free-icon/panic-attack_17598436,07/18/25
